# region	tier	task	RuneLite requirement expression
Ardougne	easy	Have Wizard Cromperty teleport you to the Rune Essence mine.	new QuestRequirement(Quest.RUNE_MYSTERIES)
Ardougne	easy	Steal a cake from the Ardougne market stalls.	new SkillRequirement(Skill.THIEVING, 5)
Ardougne	easy	Enter the Combat Training Camp north of W. Ardougne.	new QuestRequirement(Quest.BIOHAZARD)
Ardougne	medium	Enter the Unicorn pen in Ardougne zoo using Fairy rings.	new QuestRequirement(Quest.FAIRYTALE_II__CURE_A_QUEEN, true)
Ardougne	medium	Grapple over Yanille's south wall.	new SkillRequirement(Skill.AGILITY, 39), new SkillRequirement(Skill.STRENGTH, 38), new SkillRequirement(Skill.RANGED, 21)
Ardougne	medium	Harvest some strawberries from the Ardougne farming patch.	new SkillRequirement(Skill.FARMING, 31)
Ardougne	medium	Cast the Ardougne Teleport spell.	new SkillRequirement(Skill.MAGIC, 51), new QuestRequirement(Quest.PLAGUE_CITY)
Ardougne	medium	Travel to Castlewars by Hot Air Balloon.	new SkillRequirement(Skill.FIREMAKING, 50), new QuestRequirement(Quest.ENLIGHTENED_JOURNEY)
Ardougne	medium	Claim buckets of sand from Bert in Yanille.	new SkillRequirement(Skill.CRAFTING, 49), new QuestRequirement(Quest.THE_HAND_IN_THE_SAND)
Ardougne	medium	Catch any fish on the Fishing Platform.	new QuestRequirement(Quest.SEA_SLUG, true)
Ardougne	medium	Pickpocket the master farmer north of Ardougne.	new SkillRequirement(Skill.THIEVING, 38)
Ardougne	medium	Collect some Nightshade from the Skavid Caves.	new QuestRequirement(Quest.WATCHTOWER, true)
Ardougne	medium	Kill a swordchick in the Tower of Life.	new QuestRequirement(Quest.TOWER_OF_LIFE)
Ardougne	medium	Equip Iban's upgraded staff or upgrade an Iban staff.	new SkillRequirement(Skill.MAGIC, 50), new SkillRequirement(Skill.ATTACK, 50), new QuestRequirement(Quest.UNDERGROUND_PASS)
Ardougne	medium	Visit the Island East of the Necromancer's tower.	new QuestRequirement(Quest.FAIRYTALE_II__CURE_A_QUEEN, true)
Ardougne	hard	Recharge some Jewellery at the Totem in the Legends Guild.	new QuestRequirement(Quest.LEGENDS_QUEST)
Ardougne	hard	Recharge some Jewellery at Totem in the Legends Guild.	new QuestRequirement(Quest.LEGENDS_QUEST)
Ardougne	hard	Enter the Magic Guild.	new SkillRequirement(Skill.MAGIC, 66)
Ardougne	hard	Steal from a chest in Ardougne Castle.	new SkillRequirement(Skill.THIEVING, 72)
Ardougne	hard	Have a zookeeper put you in Ardougne Zoo's monkey cage.	new QuestRequirement(Quest.MONKEY_MADNESS_I, true)
Ardougne	hard	Teleport to the Watchtower.	new SkillRequirement(Skill.MAGIC, 58), new QuestRequirement(Quest.WATCHTOWER)
Ardougne	hard	Catch a Red Salamander.	new SkillRequirement(Skill.HUNTER, 59)
Ardougne	hard	Check the health of a Palm tree near tree gnome village.	new SkillRequirement(Skill.FARMING, 68)
Ardougne	hard	Pick some Poison Ivy berries from the patch south of Ardougne.	new SkillRequirement(Skill.FARMING, 70)
Ardougne	hard	Smith a Mithril platebody near Ardougne.	new SkillRequirement(Skill.SMITHING, 68)
Ardougne	hard	Enter your POH from Yanille.	new SkillRequirement(Skill.CONSTRUCTION, 50)
Ardougne	hard	Smith a Dragon sq shield in West Ardougne.	new SkillRequirement(Skill.SMITHING, 60), new QuestRequirement(Quest.LEGENDS_QUEST)
