# Development-time snapshot of OSRS Wiki Module:Questreq/data.
# Retrieved 2026-08-18; canonical identities are filtered through RuneLite Quest.
# name<TAB>direct prerequisite quests<TAB>direct skill requirements
# Supplemental Quest details records below were retrieved from their current
# OSRS Wiki pages on 2026-08-18 because Module:Questreq/data omitted them.
Vale Totems	Children of the Sun	Fletching:20	Talk to Ranulph in north-western Auburnvale.
The General's Shadow	Curse of the Empty Lord;Desert Treasure I;Fight Arena		Speak to the ghost of General Khazard roaming around the woods south-east of Rellekka.
Skippy and the Mogres		Cooking:20	Speak to Skippy located south-east of the town of Rimmington.
Land of the Goblins	Another Slice of H.A.M.;Death to the Dorgeshuun;The Lost Tribe;Goblin Diplomacy;Rune Mysteries;The Giant Dwarf;The Dig Site;Fishing Contest	Agility:38;Fishing:40;Thieving:45;Herblore:48	Talk to Grubfoot in the Dorgesh-Kaan mine.
Lair of Tarn Razorlor	Haunted Mine	Slayer:40	Enter the Lair of Tarn Razorlor.
The Enchanted Key	Making History		Begin this mini-quest by getting your enchanted key. If lost, it can be reclaimed from the silver merchant in East Ardougne for 500 coins.
Family Pest	Family Crest		Speak to Dimintheis in south-east Varrock.
In Search of Knowledge			Brother Aimeri, towards the south-eastern end of the Forthos Dungeon.
Daddy's Home			Speak to Marlo in the Estate Agent's house in north-east Varrock.
Into the Tombs	Beneath Cursed Sands;Contact!;Prince Ali Rescue;Icthlarin's Little Helper;Gertrude's Cat		Talk to Maisa inside Osmumten's tomb at the Necropolis.
The Blood Moon Rises	A Night at the Theatre;Sins of the Father;Vampyre Slayer;A Taste of Hope;Darkness of Hallowvale;In Aid of the Myreque;In Search of the Myreque;Nature Spirit;Priest in Peril;The Restless Ghost	Slayer:74;Woodcutting:74;Smithing:72;Cooking:72;Fletching:70;Mining:66;Hunter:65;Crafting:64;Herblore:64;Magic:57	Talk to Sarius Guile in the Icyene Graveyard.
The Final Dawn	The Heart of Darkness;Twilight's Promise;Children of the Sun;Perilous Moons	Thieving:66;Runecraft:52;Fletching:52	Talk to Servius in the Sunrise Palace.
Pandemonium			Talk to Will and Anne on the docks of Port Sarim.
Prying Times	Pandemonium;The Knight's Sword	Smithing:30;Sailing:12	Talk to 'Squawking' Steve Beanie at The Pandemonium pub.
Current Affairs	Pandemonium	Sailing:22;Fishing:10	Talk to Arhein on the Catherby docks.
Troubled Tortugans	Pandemonium	Slayer:51;Construction:48;Sailing:45;Hunter:45;Woodcutting:40;Crafting:34	Talk to the injured tortugan on a Remote Island in the Unquiet Ocean.
The Red Reef	Troubled Tortugans;Pandemonium	Sailing:52;Smithing:48	Talk to Elder Raley at his home on the Great Conch.
Shadows of Custodia	Children of the Sun	Slayer:54;Fishing:45;Construction:41;Hunter:36	Read the notice board in Auburn Pub.
Scrambled!	Children of the Sun	Construction:38;Cooking:36;Smithing:35	Talk to Alan at the temple of Tal Teok north of Tal Teklan.
Learning the Ropes			Talk to the Quest Guide on Tutorial Island.
The Ides of Milk			Talk to Cassius by the Lumbridge pond.
Fallen From Grace	Pandemonium	Sailing:62;Crafting:60;Runecraft:47;Mining:53	Talk to Cormac, the mayor of Auchrie, on the island of Wyrmscraig.
Animal Magnetism	Ernest the Chicken;Priest in Peril;The Restless Ghost	Crafting:19;Prayer:31;Ranged:30;Slayer:18;Woodcutting:35
Another Slice of H.A.M.	Death to the Dorgeshuun;The Dig Site;The Giant Dwarf	Attack:15;Prayer:25
The Ascent of Arceuus	Client of Kourend	Hunter:12
At First Light	Children of the Sun;Eagles' Peak	Hunter:46;Herblore:30;Construction:27
Below Ice Mountain		Quest point:16
Between a Rock...	Dwarf Cannon;Fishing Contest	Defence:30;Mining:40;Smithing:50
Big Chompy Bird Hunting		Cooking:30;Fletching:5;Ranged:30
Biohazard	Plague City
Black Knights' Fortress		Quest point:12
Bone Voyage	The Dig Site	Kudos:100
Cabin Fever	Pirate's Treasure;Rum Deal	Agility:42;Crafting:45;Smithing:50;Ranged:40
Children of the Sun
Client of Kourend	X Marks the Spot
Clock Tower
Cold War		Agility:30;Construction:34;Crafting:30;Hunter:10;Thieving:15;Woodcutting:50
Contact!	Prince Ali Rescue;Icthlarin's Little Helper
Cook's Assistant
The Corsair Curse
Creature of Fenkenstrain	Priest in Peril;The Restless Ghost	Crafting:20;Smithing:4;Thieving:25
The Curse of Arrav	Defender of Varrock;Troll Romance	Mining:64;Ranged:62;Thieving:62;Agility:61;Strength:58;Slayer:37
Darkness of Hallowvale	In Aid of the Myreque	Agility:26;Construction:5;Crafting:32;Magic:33;Mining:20;Strength:40;Thieving:22
Death on the Isle	Children of the Sun	Agility:32;Thieving:34
Death Plateau
Death to the Dorgeshuun	The Lost Tribe	Agility:23;Thieving:23
Defender of Varrock	Shield of Arrav;Temple of Ikov;Below Ice Mountain;Family Crest;Garden of Tranquillity;What Lies Below;Romeo & Juliet;Demon Slayer	Smithing:55;Hunter:52
Demon Slayer
The Depths of Despair	Client of Kourend	Agility:18
Desert Treasure I	The Dig Site;Temple of Ikov;The Tourist Trap;Troll Stronghold;Priest in Peril;Waterfall Quest	Firemaking:50;Magic:50;Slayer:10;Thieving:53
Desert Treasure II - The Fallen Empire	Desert Treasure I;Secrets of the North;Enakhra's Lament;Temple of the Eye;The Garden of Death;Below Ice Mountain;His Faithful Servants	Firemaking:75;Magic:75;Herblore:62;Thieving:70;Runecraft:60;Construction:60
Devious Minds	Doric's Quest;Enter the Abyss;Troll Stronghold;Wanted!	Fletching:50;Runecraft:50;Smithing:65
The Dig Site	Druidic Ritual	Agility:10;Herblore:10;Thieving:25
Doric's Quest		Mining:15
Dragon Slayer I		Quest point:32;Crafting:8
Dragon Slayer II	Animal Magnetism;Barbarian Firemaking;Bone Voyage;Client of Kourend;Dream Mentor;Ghosts Ahoy;Legends' Quest;A Tail of Two Cats	Quest point:200;Agility:60;Construction:50;Crafting:62;Hitpoints:50;Magic:75;Mining:68;Smithing:70;Thieving:60
Dream Mentor	Eadgar's Ruse;Lunar Diplomacy	Combat:85
Druidic Ritual
Dwarf Cannon
Eadgar's Ruse	Druidic Ritual;Troll Stronghold	Herblore:31
Eagles' Peak		Hunter:27
Elemental Workshop I		Crafting:20;Mining:20;Mining:30;Smithing:20
Elemental Workshop II	Elemental Workshop I	Magic:20;Smithing:30
