# RuneLite STASH identity	location	authoritative emote/equipment evidence
NEAR_A_SHED_IN_LUMBRIDGE_SWAMP	Lumbridge swamp	Dance in the shack in Lumbridge Swamp. Equip a bronze dagger, iron full helmet and a gold ring.
ON_THE_BRIDGE_TO_THE_MISTHALIN_WIZARDS_TOWER	Wizards' Tower	Clap on the causeway to the Wizards' Tower. Equip an iron medium helmet, emerald ring and a white apron.
DRAYNOR_VILLAGE_MARKET	Draynor	Yawn in Draynor marketplace. Equip studded leather chaps, an iron kiteshield and a steel longsword.
LIMESTONE_MINE	Limestone Mine	Panic in the Limestone Mine. Equip bronze platelegs, a steel pickaxe and a steel medium helmet.
OUTSIDE_THE_LEGENDS_GUILD_GATES	Legend's Guild	Bow outside the entrance to the Legends' Guild. Equip iron platelegs, an emerald amulet and an oak longbow.
MUDSKIPPER_POINT	Mudskipper Point (AIQ)	Wave on Mudskipper Point. Equip a black cape, leather chaps and a steel mace.
NEAR_THE_ENTRANA_FERRY_IN_PORT_SARIM	Port Sarim	Cheer for the monks at Port Sarim. Equip a coif, steel plateskirt and a sapphire necklace.
AL_KHARID_SCORPION_MINE	Al Kharid mine	Headbang in the mine north of Al Kharid. Equip a desert shirt, leather gloves and leather boots.
DRAYNOR_MANOR_BY_THE_FOUNTAIN	Draynor Manor	Spin in Draynor Manor by the fountain. Equip an iron platebody, studded leather chaps and a bronze full helmet.
WHEAT_FIELD_NEAR_THE_LUMBRIDGE_WINDMILL	Lumbridge mill	Think in middle of the wheat field by the Lumbridge mill. Equip a blue gnome robetop, a turquoise gnome robe bottom and an oak shortbow.
CROSSROADS_NORTH_OF_DRAYNOR_VILLAGE	Draynor Village	Dance at the crossroads north of Draynor. Equip an iron chain body, a sapphire ring and a longbow.
RIMMINGTON_MINE	Rimmington mine	Shrug in the mine near Rimmington. Equip a gold necklace, a gold ring and a bronze spear.
VARROCK_PALACE_LIBRARY	Varrock Castle	Yawn in the Varrock library. Equip a green gnome robe top, HAM robe bottom and an iron warhammer.
UPSTAIRS_IN_THE_ARDOUGNE_WINDMILL	East Ardougne	Clap on the top level of the mill, north of East Ardougne. Equip a blue gnome robe top, HAM robe bottom and an unenchanted tiara.
OUTSIDE_THE_FALADOR_PARTY_ROOM	Falador Party Room	Dance in the Party Room. Equip a steel full helmet, steel platebody and an iron plateskirt.
TAVERLEY_STONE_CIRCLE	Taverley stone circle	Cheer at the Druids' Circle. Equip a blue wizard hat, a bronze two-handed sword and HAM boots.
CATHERBY_BEEHIVE_FIELD	Catherby	Jump for joy at the beehives. Equip a desert shirt, green gnome robe bottoms and a steel axe.
NEAR_THE_PARROTS_IN_ARDOUGNE_ZOO	Ardougne Zoo	Blow a raspberry at the monkey cage in Ardougne Zoo. Equip a studded leather body, bronze platelegs and a normal staff with no orb.
ROAD_JUNCTION_NORTH_OF_RIMMINGTON	Rimmington	Spin at the crossroads north of Rimmington. Equip a green gnome hat, cream gnome top and leather chaps.
OUTSIDE_THE_FISHING_GUILD	Fishing Guild	Dance a jig by the entrance to the Fishing Guild. Equip an emerald ring, a sapphire amulet, and a bronze chain body.
OUTSIDE_KEEP_LE_FAYE	Keep Le Faye	Blow raspberries outside the entrance to Keep Le Faye. Equip a coif, an iron platebody and leather gloves.
ROAD_JUNCTION_SOUTH_OF_SINCLAIR_MANSION	Sinclair Mansion	Laugh at the crossroads south of the Sinclair Mansion. Equip a cowl, a blue wizard robe top and an iron scimitar.
OUTSIDE_THE_DIGSITE_EXAM_CENTRE	Exam Centre	Clap in the main exam room in the Exam Centre. Equip a white apron, green gnome boots and leather gloves.
NEAR_THE_SAWMILL_OPERATORS_BOOTH	Lumber Yard	Wave along the south fence of the Lumber Yard. Equip a hard leather body, leather chaps and a bronze axe.
EMIRS_ARENA_TICKET_OFFICE	Emir's Arena	Bow in the office of the Emir's Arena. Equip an iron chain body, leather chaps and coif.
OUTSIDE_VARROCK_PALACE_COURTYARD	Varrock Castle	Spin in the Varrock Castle courtyard. Equip a black axe, a coif and a ruby ring.
NEAR_HERQUINS_SHOP_IN_FALADOR	Falador	Wave in the Falador gem store. Equip a Mithril pickaxe, Black platebody and an Iron Kiteshield.
SOUTH_OF_THE_GRAND_EXCHANGE	Grand Exchange	Dance at the entrance to the Grand Exchange. Equip a pink skirt, pink robe top and a body tiara.
AUBURYS_SHOP_IN_VARROCK	Varrock rune store	Do a jig in Varrock's rune store. Equip an air tiara and a staff of water.
CENTRE_OF_CANIFIS	Canifis	Dance in the centre of Canifis. Bow before you talk to me. Equip a green gnome robe top, mithril plate legs and an iron two-handed sword.
MAUSOLEUM_OFF_THE_MORYTANIA_COAST	Morytania mausoleum, access via the experiments cave	Panic by the mausoleum in Morytania. Wave before you speak to me. Equip a mithril plate skirt, a maple longbow and no boots.
EAST_OF_THE_BARBARIAN_VILLAGE_BRIDGE	Barbarian Village	Spin on the bridge by the Barbarian Village. Salute before you talk to me. Equip purple gloves, a steel kiteshield and a mithril full helmet.
SOUTH_OF_THE_SHRINE_IN_TAI_BWO_WANNAI_VILLAGE	Tai Bwo Wannai	Beckon in Tai Bwo Wannai. Clap before you talk to me. Equip green dragonhide chaps, a ring of dueling and a mithril medium helmet.
CASTLE_WARS_BANK	Castle Wars	Yawn in the Castle Wars lobby. Shrug before you talk to me. Equip a ruby amulet, a mithril scimitar and a Wilderness cape.
BARBARIAN_OUTPOST_OBSTACLE_COURSE	Barbarian Outpost	Cheer in the Barbarian Agility Arena. Headbang before you talk to me. Equip a steel platebody, maple shortbow and a Wilderness cape.
GNOME_STRONGHOLD_BALANCING_ROPE	Gnome Stronghold	Cry on top of the western tree in the Gnome Agility Arena. Indicate 'no' before you talk to me. Equip a steel kiteshield, ring of forging and green dragonhide chaps.
OUTSIDE_YANILLE_BANK	Yanille	Jump for joy in Yanille bank. Dance a jig before you talk to me. Equip a brown apron, adamantite medium helmet and snakeskin chaps.
